Vocab-expression	Vocab-meaning	Vocab-sound-local
売れる	sell, be in demand	ureru	1
夏休み	summer vacation	natsuyasumi	1
日	sun, sunlight, day	hi	1
四季	the four seasons	shiki	1
アイス	popsicle, ice lolly	aisu	1
外	outside, open air	soto	1
熱	heat, fever	netsu	1
下がる	come down, hang down, fall	sagaru	1
ウール	wool	uuru	1
暖める	warm, warm up, heat up	atatameru	1
暖まる	get warm	atatamaru	1
達する	attain, reach	tassuru	1
温度	temperature	ondo	1
気温	temperature	kion	1
台風	typhoon	taifuu	1
事情	circumstances, conditions	jijou	1
コート	court	kooto	1
新年	New Year	shinnen	1
寺	buddhist temple	tera	1
台	stand, platform	dai	1
少しも	at all	sukoshimo	1
安心	peace of mind, relief	anshin	1
考え	thought, view, idea	kangae	1
解決	solution, settlement	kaiketsu	1
女の子	girl, daughter	onnanoko	1
可能	possible, potential	kanou	1
不便	inconvenient	fuben	1
郵便屋さん	mailman	yuubinyasan	1
火事	fire	kaji	1
交番	police box	kouban	1
番号	number, serial number	bangou	1
近所	neighborhood	kinjo	1
住所	one's dwelling, address	juusho	1
ぶらぶら	wander aimlessly, hang about	burabura	1
便所	lavatory, bathroom	benjo	1
ボールペン	ballpoint pen	boorupen	1
名字	surname, family name	myouji	1
ローマ字	Roman alphabet	roomaji	1
氏名	name	shimei	1
外人	foreigner, alien	gaijin	1
南	south	minami	1
初めて	for the first time	hajimete	1
水道	water service, channel	suidou	1
都市	cities, urban community	toshi	1
都合	circumstances	tsugou	1
朝御飯	breakfast	asagohan	1
心配	anxiety, worry, good offices	shinpai	1
見送り	seeing someone off	miokuri	1
コース	course, route	koosu	1
取れる	come off, be removed	toreru	1
いつごろ	about when, about what time	itsugoro	1
書き取る	write down, note down	kakitoru	1
なかなか	not at all, hardly	nakanaka	1
郵便	mail service, postal matter	yuubin	1
そのまま	like that, unchanged	sonomama	1
持つ	maintain, last long	motsu	1
マッチ	match, matchbox	matchi	1
持って行く	take	motteiku	1
持って来る	bring	mottekuru	1
投げる	throw, abandon	nageru	1
女性	woman, female	josei	1
生産	production	seisan	1
有名	famous	yuumei	1
生徒	pupil, student	seito	1
来月	next month	raigetsu	1
見学	observation tour, study tour, field trip	kengaku	1
通学	attending school, going to school	tsuugaku	1
ビザ	visa	biza	1
可	permitted, OK	ka	1
校長	principal, schoolmaster	kouchou	1
休校	temporary closure of school	kyuukou	1
忘れ物	something left behind, lost item	wasuremono	1
場所	place, space	basho	1
読み方	way of reading, reading	yomikata	1
育つ	be brought up, grow	sodatsu	1
ソフト	software, programme	sofuto	1
風	wind	kaze	1
取引	transaction, dealings	torihiki	1
ボタン	button	botan	1
押さえる	hold down	osaeru	1
慣れる	grow accustomed to	nareru	1
習慣	custom, habit	shuukan	1
何	what, which	nan	1
問題	problem, question	mondai	1
最近	late, recent	saikin	1
社会	society	shakai	1
部分	part, section	bubun	1
簡単	simple, easy	kantan	1
複雑	complicated, intricate	fukuzatsu	1
人間	human being, people	ningen	1
外国語	foreign language	gaikokugo	1
数える	count, calculate	kazoeru	1
回す	turn, rotate	mawasu	1
担当	person in charge	tantou	1
本当	truth, reality	hontou	1
方法	method, procedure	houhou	1
法律	law	houritsu	1
経験	experience	keiken	1
経つ	pass, elapse	tatsu	1
経済	economy, economics	keizai	1
工業	industry, manufacturing industry	kougyou	1
便利	convenience, handiness	benri	1
製造	production, manufacture	seizou	1
必要	need, necessity	hitsuyou	1
作業	work, operation	sagyou	1
協力	cooperation, collaboration	kyouryoku	1
重さ	weight	omosa	1
割り算	division	warizan	1
残る	remain, be left over	nokoru	1
貸し出す	lend, lend out	kashidasu	1
消しゴム	eraser	keshigomu	1
混む・込む	be crowded, be congested	komu.komu	1
期待	expectation, anticipation	kitai	1
期間	term, period	kikan	1
時期	time, season	jiki	1
限る	be limited to	kagiru	1
急ぐ	hurry, hasten	isogu	1
急に	suddenly, unexpectedly	kyuuni	2
急行	express train, going in a hurry	kyuukou	1
思い出す	recollect, recall	omoidasu	1
切れる	run out, expire, can cut	kireru	1
郵便局	post office	yuubinkyoku	1
切手	postage stamp	kitte	1
売り切れ	sellout, sold out	urikire	1
切符	ticket	kippu	1
入場券	entrance ticket	nyuujouken	1
家賃	rent	yachin	1
時代	age, antiquity	jidai	1
定期券	commuter's pass	teikiken	1
予定	schedule, plan	yotei	1
天気予報	weather forecast	tenkiyohou	1
予習	preparation, previewing (a lesson)	yoshuu	1
予約	reservation, subscription	yoyaku	1
変化	change	henka	1
強化	strengthening	kyouka	1
文化	culture	bunka	1
増える	increase, accrue	fueru	1
外国人	foreigner	gaikokujin	1
減る	decrease, diminish	heru	1
減らす	decrease, reduce	herasu	1
雨	rain	ame	1
雪	snow, snowfall	yuki	1
ざあざあ	heavily, pouring	zaazaa	1
必ず	without fail, certainly	kanarazu	1
夕方	evening	yuugata	1
コート	coat, jacket	kooto	1
上着	coat, jacket	uwagi	1
役に立つ	be useful, be helpful	yakunitatsu	1
席	seat, one's place	seki	1
空く	become available or vacant	aku	1
代える	substitute, use in place of	kaeru	1
全国	the whole country	zenkoku	1
降りる	get off, land	oriru	1
次男	second son	jinan	1
次女	second daughter	jijo	1
方	person　（polite form)	kata	1
運ぶ	carry, transport	hakobu	1
打つ	hit, strike	utsu	1
動物	animal	doubutsu	1
早く	early, soon	hayaku	1
速達	special delivery, express mail	sokutatsu	1
開始	beginning	kaishi	1
制度	system, organization	seido	1
株	stocks, shares	kabu	1
そろそろ	soon, quietly	sorosoro	1
車道	road, roadway	shadou	1
ほぼ	almost, nearly	hobo	1
やっと	at last, finally	yatto	1
現在	the present, present time	genzai	1
実施	enforcement, implementation	jisshi	1
事実	fact, truth	jijitsu	1
通過	passing, passage	tsuuka	1
過ぎる	pass by, exceed	sugiru	1
過去	the past	kako	1
発生	occurrence, happening	hassei	1
出発	departure, starting	shuppatsu	1
発車	start, leave	hassha	1
下り	downhill, going down	kudari	1
表	front side, face, outside	omote	1
表	table, list	hyou	1
手紙	letter	tegami	1
ポスト	post box, letter box	posuto	1
返事	answer, reply	henji	1
作品	work of art, piece	sakuhin	1
雑誌	magazine, journal	zasshi	1
売店	booth, store	baiten	1
音	sound, noise	oto	1
工事	construction	kouji	1
下げる	lower, turn down	sageru	1
びっくりする	surprised	bikkurisuru	1
うるさい	noisy, annoying, pesky	urusai	1
変	strange, weird, funny	hen	1
音	sound, speech sound, Chinese pronunciation of a character	oto	1
生活	life, living	seikatsu	1
音楽	music	ongaku	1
段々	gradually, one after another	dandan	1
薬	drug, remedy, chemical	kusuri	1
歌	song	uta	1
歌手	singer	kashu	1
下手	not good at	heta	1
欲しがる	desire, wish for, covet	hoshigaru	1
一部	part	ichibu	1
絵	picture, painting, drawing	e	1
一人で	by oneself	hitoride	1
話	talk, story	hanashi	1
面白い	interesting, amusing	omoshiroi	1
全然	wholly, at all	zenzen	1
写る	be taken, be seen through	utsuru	1
写真	photograph	shashin	1
真ん中	center, middle	mannaka	1
真っ暗	pitch-dark	makkura	1
真っ黒	deep-black, jet-black	makkuro	1
真っ青	deep-blue, pale (skin)	massao	1
空	sky, weather	sora	1
品物	article, thing	shinamono	1
青	blue, green, green light	ao	1
白	white	shiro	1
大型	large, large scale	oogata	1
重要	important, essential	juuyou	1
種類	kind, species	shurui	1
直す	repair, cure, alter	naosu	1
真っ直ぐ	dead straight, honestly	massugu	2
売り切れる	be sold out, go out of stock	urikireru	1
三角	triangle	sankaku	1
四角	square, quadrilateral	shikaku	1
四角い	square, four-sided	shikakui	1
曲	song, melody, tune	kyoku	1
曲げる	bend, curve	mageru	1
交差点	crossing, intersection	kousaten	1
角	corner, edge, angle	kado	1
四つ角	street corner, intersection	yotsukado	1
曲がり角	corner	magarikado	1
計算	calculation	keisan	1
年度	year, school year	nendo	1
間違い	mistake, error	machigai	1
間違える	mistake, confuse	machigaeru	1
間違う	be mistaken, be incorrect	machigau	1
世界	world	sekai	1
多く	much, largely	ooku	1
毎年	every year	maitoshi	1
思い出	recollections, memory	omoide	1
一昨年	the year before last	ototoshi	1
やっぱり	just as I thought, after all	yappari	1
利用	utilization, usage	riyou	1
返す	return, repay	kaesu	1
がらがら	empty	garagara	1
旅館	Japanese inn	ryokan	1
泊める	lodge, give shelter	tomeru	1
ドル	dollar	doru	1
洋服	clothes	youfuku	1
教室	classroom, class	kyoushitsu	1
図書室	library	toshoshitsu	1
販売	sale, selling	hanbai	1
窓	window, windowpane	mado	1
土地	land	tochi	1
届く	reach, be received	todoku	1
運転	drive	unten	1
ひげ	moustache, beard	hige	1
あくび	yawn	akubi	1
不動産屋	real estate agent, realtor	fudousanya	1
外国	foreign country	gaikoku	1
買い物	shopping, purchase	kaimono	1
台所	kitchen	daidokoro	1
毎週	every week	maishuu	1
読み	reading, judgment, foresight	yomi	1
似ている	look like, resemble	niteiru	1
どんどん	knock	dondon	1
親切	kind, friendly	shinsetsu	1
店員	clerk, salesperson	ten'in	1
会話	conversation	kaiwa	1
不親切	unkind, inattentive	fushinsetsu	1
人々	people	hitobito	1
家族	family, household	kazoku	1
万歳	Banzai! Hurrah! Long live...!	banzai	1
長女	eldest daughter	choujo	1
入学	enter a school, matriculate	nyuugaku	1
おしゃべり	chatter, talkative	oshaberi	1
二十歳	20 years old	hatachi	2
数学	mathematics	suugaku	1
バイク	motorbike, motor cycle	baiku	1
二階	second floor, upstairs	nikai	1
兄さん	older brother	niisan	1
安全	safety, security	anzen	1
合格	passing an examination, eligibility	goukaku	1
練習	practice, training	renshuu	1
引き算	subtraction	hikizan	1
足し算	addition	tashizan	1
客	visitor, customer	kyaku	1
発表	announcement	happyou	1
若者	young person, youth	wakamono	1
企業	corporation, business	kigyou	1
計画	plan, project	keikaku	1
明らか	clear, obvious	akiraka	1
工場	factory, plant	koujou	1
代表	representative	daihyou	1
能力	ability, capacity	nouryoku	1
運動	movement, exercise	undou	1
要求	requirement, demand	youkyuu	1
実行	practice, execution	jikkou	1
まとめる	gather together, put in order	matomeru	1
残す	leave, reserve, leave undone	nokosu	1
言語	language, speech	gengo	1
教育	education	kyouiku	1
同様	similar	douyou	1
当時	at that time, at the present time	touji	1
海外	overseas, abroad	kaigai	1
映画	movie	eiga	1
帰国	return to one's country	kikoku	1
遅れる	be late	okureru	1
移る	move, shift	utsuru	1
旅行	travel, trip	ryokou	1
育てる	bring up, breed	sodateru	1
明るい	bright, cheerful	akarui	1
借りる	borrow	kariru	1
立てる	stand, set up, establish	tateru	1
長男	eldest son	chounan	1
受け取る	receive, understand	uketoru	1
渡す	carry across, hand over	watasu	1
兄弟	sibling	kyoudai	1
運転手	driver	untenshu	1
見送る	see (someone) off	miokuru	1
おかしい	strange, peculiar, suspicious	okashii	1
荷物	baggage, load	nimotsu	1
貸す	lend, lease	kasu	1
人形	doll	ningyou	1
銀	silver	gin	1
届ける	deliver, give notice	todokeru	1
金持ち	wealthy person	kanemochi	1
オートバイ	motorbike, motorcycle	ootobai	1
習う	learn, practice	narau	1
左手	left hand	hidarite	1
着物	clothes, kimono	kimono	1
映画館	movie theater	eigakan	1
おかしい	funny, amusing, comical	okashii	1
真面目	serious, sober, earnest	majime	1
申し込む	apply, make a proposal	moushikomu	1
配達	delivery	haitatsu	1
物	thing, object	mono	1
この間	the other day, recently	konoaida	1
つまらない	boring, dull	tsumaranai	1
書き方	how to write, way of writing	kakikata	1
スチュワーデス	flight attendant	suchuwaadesu	1
ワイシャツ	(business) shirt, (white) shirt	waishatsu	1
早口	fast talking	hayakuchi	1
色々	in various ways	iroiro	1
降ろす	unload, set down	orosu	1
にこにこ	smile	nikoniko	1
一昨日	day before yesterday	ototoi	1
ぺらぺら	fluently	perapera	1
やけど	burn	yakedo	1
大人しい	gentle, quiet, subdued	otonashii	1
上がる	get nervous, get stage fright	agaru	1
空手	karate, empty hand	karate	1
金	gold, sum of money, Friday	kin	1
年上	older, senior	toshiue	1
昼過ぎ	early afternoon	hirusugi	1
結合	combination, joining	ketsugou	1
教会	church	kyoukai	1
先月	last month	sengetsu	1
結果	result, outcome	kekka	1
果物	fruit	kudamono	1
課題	task, problem	kadai	1
課	section, division, lesson	ka	1
表現	expression	hyougen	1
立場	standpoint, position	tachiba	1
おもちゃ	toy, plaything	omocha	1
乗り物	vehicle, conveyance	norimono	1
自習	self-study, self-teaching	jishuu	1
理由	reason, cause	riyuu	1
自由	freedom	jiyuu	1
変わる	change	kawaru	1
信じる	believe, trust, have faith in	shinjiru	1
信号	signal, traffic light	shingou	1
赤	red, crimson	aka	1
頼む	ask, request	tanomu	1
市民	citizens, townsmen	shimin	1
決定	decision, settlement	kettei	1
報告	report	houkoku	1
議員	legislator	giin	1
会議	conference, meeting	kaigi	1
発言	utterance, speech	hatsugen	1
出席	attendance, presence	shusseki	1
配る	hand out, distribute, allot	kubaru	1
昼前	in the morning, before noon	hirumae	1
開発	development	kaihatsu	1
対立	opposition, antagonism	tairitsu	1
見方	view, way of looking	mikata	1
反対	oppose, object	hantai	1
対する	face, be in response to	taisuru	1
よく	well	yoku	1
写す	copy, photograph	utsusu	1
答え	answer, solution	kotae	1
特に	specially, particularly	tokuni	1
特急	super-express	tokkyuu	1
特別	special, extraordinary	tokubetsu	1
別々	separately	betsubetsu	1
別れる	separate, part from	wakareru	1
一般	general, common	ippan	1
目的	object, purpose	mokuteki	1
産業	industry	sangyou	1
普通	normal, regular	futsuu	1
並ぶ	line up, be parallel	narabu	1
並べる	line up, display, set up	naraberu	1
ごちそう	feast, treat	gochisou	1
平和	peace, harmony	heiwa	1
病院	hospital	byouin	1
入院	be hospitalized	nyuuin	1
お医者さん	doctor	oishasan	1
歯ブラシ	toothbrush	haburashi	1
教科書	textbook, schoolbook	kyoukasho	1
亡くなる	die, pass away	nakunaru	1
昼間	daytime, day	hiruma	1
疲れる	get tired, become fatigued	tsukareru	1
ふらふら	weak	furafura	1
禁煙	no smoking, giving up smoking	kin'en	1
酔っ払い	drunkard, boozer	yopparai	1
酔っ払う	get drunk	yopparau	1
もう	another, again	mou	1
コップ	cup, glass	koppu	1
危ない	dangerous, uncertain	abunai	1
注目	attention, notice	chuumoku	1
注文	order, request	chuumon	1
意味	meaning, significance	imi	1
意見	opinion	iken	1
個人	individual	kojin	1
注意	attention, care, watch out	chuui	1
用意	prepare, ready oneself	youi	1
分かれる	be divided, disperse, branch off	wakareru	1
確認	confirmation	kakunin	1
機能	function, feature	kinou	1
