Vocab-expression	Vocab-meaning	Vocab-sound-local
糊	glue, starch	nori	1
醤油	soy sauce	shouyu	1
鋏	scissors, pincers, tongs	hasami	1
鞄	bag, handbag, briefcase	kaban	1
顎	jaw, chin	ago	1
飴	candy, sweets	ame	1
石鹸	soap	sekken	1
おやつ	snack, refreshment	oyatsu	1
今に	before long, someday	imani	1
バイト	part-time job	baito	1
もうけ	profits, earnings	mouke	1
わざわざ	go to a lot of trouble	wazawaza	1
やって来る	come, turn up	yattekuru	1
せっかく	with much trouble, specially	sekkaku	1
ばからしい	stupid, useless	bakarashii	1
大	bigness, large size	dai	1
ずるい	cunning, sneaky	zurui	1
ずうずうしい	cheeky, impudent	zuuzuushii	1
大人	adult	otona	1
何て	what, how	nante	1
よす	quit, stop	yosu	1
大金	large sum of money	taikin	1
日の出	sunrise	hinode	1
外れる	come off	hazureru	1
外れ	blank	hazure	1
本日	today	honjitsu	1
一休み	rest	hitoyasumi	1
なぜか	for some reason	nazeka	1
つぶる	close	tsuburu	1
ぞんざい	rough, rude	zonzai	1
しびれる	become numb, get pins and needles	shibireru	1
たこ	octopus	tako	1
つまずく	stumble, trip	tsumazuku	1
つぼみ	bud	tsubomi	1
うろうろ	wander	urouro	1
女子	woman, girl	joshi	1
あんまり	(not) that much, (not) so much	anmari	1
えび	lobster, shrimp	ebi	1
出来上がる	be completed, be finished	dekiagaru	1
カーブ	curve, bend	kaabu	1
どうやら	seems, looks like	douyara	1
にわかに	rapidly	niwakani	1
昨日	yesterday	sakujitsu	1
ひとりでに	automatically, by oneself	hitorideni	1
本人	the person himself, the said person	honnin	1
ママ	mommy, mummy	mama	1
安っぽい	cheap, tacky	yasuppoi	1
気分	feeling, mood	kibun	1
開き	gap, vacancy	aki	1
日の入り	sunset	hinoiri	1
半年	half a year	hantoshi	1
はれる	swell, swell up	hareru	1
明ける	to dawn	akeru	1
いつのまにか	before it is noticed	itsunomanika	1
夜	night, evening	yo	1
七夕	Tanabata Festival, Star Festival	tanabata	1
外食	eating out, dining out	gaishoku	1
よそ	somewhere else	yoso	1
ちゃんと	regularly, properly	chanto	1
飯	cooked rice, meal	meshi	1
たんす	chest of drawers, wardrobe	tansu	1
天の川	Milky Way	amanogawa	1
じろじろ	stare	jirojiro	1
ようやく	at last, at length	youyaku	1
前方	front	zenpou	1
見上げる	look up	miageru	1
夜空	night sky	yozora	1
花火	fireworks, firecrackers	hanabi	1
見本	sample, model	mihon	1
三日月	new moon, crescent moon	mikazuki	1
見晴らし	view, outlook	miharashi	1
よる	be caused by	yoru	1
あっさり	plainly, matter-of-factly	assari	1
今ごろ	about this time	imagoro	1
つながり	connection, relation	tsunagari	1
漢語	Chinese-character compounds	kango	1
後書き	postscript, afterword	atogaki	1
見覚え	recognition, remembrance	mioboe	1
目覚まし	waking up	mezamashi	1
話し合い	talk, discussion	hanashiai	1
どうせ	anyway	douse	1
間に合わせる	make do	maniawaseru	1
週休	weekend	shuukyuu	1
満ちる	be filled, expire	michiru	1
満員	full to capacity	man'in	1
満月	full moon	mangetsu	1
一体	what on earth, what the…	ittai	1
事	thing, incident	koto	1
サボる	blow off, play truant	saboru	1
とんでもない	unthinkable, outrageous	tondemonai	1
出場	participation	shutsujou	1
コンクール	contest, competition	konkuuru	1
きょろきょろ	look around	kyorokyoro	1
最中	in the middle of, during	saichuu	1
つながる	connect, join	tsunagaru	1
ハンドル	steering wheel	handoru	1
ひく	run over	hiku	1
およそ	just about	oyoso	1
交ぜる	include	mazeru	1
おっしゃる	say	ossharu	1
客間	guest room, parlor	kyakuma	1
見通し	perspective, prospect	mitooshi	1
下水	sewerage, drainage	gesui	1
通行	passage, traffic	tsuukou	1
たまたま	by chance, accidentally	tamatama	1
でこぼこ	unevenness, bumpiness	dekoboko	1
東西	east and west	touzai	1
地下道	underpass, underground passage	chikadou	1
地下	underground	chika	1
行き止まり	dead end	ikidomari	1
やがて	soon, before long	yagate	1
通行止め	road closed	tsuukoudome	1
くたびれる	get tired, be worn out	kutabireru	1
くたくた	exhausted	kutakuta	1
地上	above ground	chijou	1
のろのろ	slowly, easy	noronoro	1
二度と	never again	nidoto	1
もしかすると	possibly, perhaps	moshikasuruto	1
毎度	every time, always	maido	1
近道	shortcut	chikamichi	1
手足	hands and feet, limbs	teashi	1
上達	progress, proficiency	joutatsu	1
四方	all directions, far and wide	shihou	1
南北	north and south	nanboku	1
全力	all one's might, full capacity	zenryoku	1
出国	departure, emigration	shukkoku	1
国土	country, territory	kokudo	1
国語	national language, Japanese	kokugo	1
国交	diplomatic relations, national friendship	kokkou	1
通じる	pass, communicate with	tsuujiru	1
交わる	cross	majiwaru	1
世の中	the world, society	yononaka	1
最小	the smallest, minimum	saishou	1
つなぐ	connect, join	tsunagu	1
パンティー	panties	panteii	1
黒字	the black, surplus	kuroji	1
赤字	deficit, in the red	akaji	1
ゆでる	boil	yuderu	1
おまけ	free gift	omake	1
空き	vacancy, free time	aki	1
ほこり	dust	hokori	1
末	last part, end	matsu	1
手間	trouble, time	tema	1
見解	opinion, view	kenkai	1
理解	understanding, comprehension	rikai	1
有りのまま	as it is, unchanged	arinomama	1
有料	fee-charging, pay	yuuryou	1
無理	impossibility	muri	1
何より	above all, before everything else	naniyori	1
無茶	reckless, excessive	mucha	1
作り話	fable, fiction	tsukuribanashi	1
電力	electric power, electricity	denryoku	1
はかり	scales	hakari	1
私用	private business, private use	shiyou	1
用	things to do	you	1
会費	fee, membership fee	kaihi	1
食費	food expenses, board	shokuhi	1
消費	consumption, spending	shouhi	1
消火	fire fighting	shouka	1
うっかり	carelessly, accidentally	ukkari	1
開店	opening of a store, setting up	kaiten	1
安売り	sale	yasuuri	1
閉店	shop closing	heiten	1
本店	head office	honten	1
商店	shop, store	shouten	1
食品	food, foodstuff	shokuhin	1
上品	elegance, refinement	jouhin	1
小売店	retail store, outlet	kouriten	1
出来上がり	completion, finish	dekiagari	1
世	world, public,	yo	1
段	step, grade	dan	1
値上がり	price rise	neagari	1
値下がり	fall in price	nesagari	1
値下げ	price reduction	nesage	1
価値	value, merit	kachi	1
格好	shape, appearance	kakkou	1
だらしない	slovenly, untidy	darashinai	1
うきうき	feel excited	ukiuki	1
うがい	gargling	ugai	1
寒気	chill	samuke	1
暖か	warm, warmhearted	atataka	1
ぽかぽか	pleasantly warm	pokapoka	1
マイナス	minus, below zero	mainasu	1
体温	body temperature	taion	1
ぴたりと	suddenly	pitarito	1
報道	news, report	houdou	1
広告	public notice, advertisement	koukoku	1
売り出す	put on sale	uridasu	1
新聞社	newspaper office	shinbunsha	1
書店	bookstore	shoten	1
広げる	spread, unfold	hirogeru	1
ぴかぴか	new, shiny	pikapika	1
中古	secondhand goods	chuuko	1
聞かす	tell, read aloud	kikasu	1
飲み水	drinking water	nomimizu	1
内	inside	uchi	1
用心	care, caution	youjin	1
ふと	suddenly, unexpectedly	futo	1
つくづく	truly, deeply	tsukuzuku	1
いつまでも	forever	itsumademo	1
忘年会	year-end party	bounenkai	1
上	superiors, people in authority	kami	1
使い道	use, application	tsukaimichi	1
決して	never, by no means	kesshite	1
決心	determination, resolve	kesshin	1
知り合う	get acquainted with	shiriau	1
知れる	become known, be found out	shireru	1
知らせ	information, notice	shirase	1
ことわざ	proverb, common saying	kotowaza	1
情けない	pitiful, shameful	nasakenai	1
知能	intelligence, mental capacity	chinou	1
能	noh play	nou	1
不足	insufficiency, lack	fusoku	1
不可能	impossible	fukanou	1
交通	traffic, transportation	koutsuu	1
小便	urine, pee	shouben	1
手前	in front	temae	1
駅前	in front of the station	ekimae	1
大家	landlord	ooya	1
ねずみ	rat, mouse	nezumi	1
人名	personal name, name	jinmei	1
国名	country name	kokumei	1
間近	nearby, close at hand	majika	1
地名	place name	chimei	1
来日	coming to Japan	rainichi	1
北東	northeast	hokutou	1
人情	human feelings, humanity	ninjou	1
区	ward	ku	1
住まい	dwelling, residence	sumai	1
合わせる	adjust, match	awaseru	1
日帰り	a day trip	higaeri	1
都	capital, city	miyako	1
いらっしゃる	come, go	irassharu	1
目方	weight	mekata	1
すっかり	all, completely	sukkari	1
車内	inside a vehicle	shanai	1
物価	prices	bukka	1
無料	no charge, free	muryou	1
本物	real thing, genuine article	honmono	1
ロッカー	locker	rokkaa	1
名物	specialty, noted product	meibutsu	1
日用品	groceries, daily necessities	nichiyouhin	1
重ねる	pile up, repeat	kasaneru	1
ちぎれる	be torn off, come off	chigireru	1
重量	weight	juuryou	1
大量	large quantity, great volume	tairyou	1
明日	tomorrow	asu	1
無用	useless, unnecessary	muyou	1
最上	best, highest	saijou	1
取り決め	decision, agreement	torikime	1
お中元	mid-year gift, summer gift	ochuugen	1
プラットホーム	platform	purattohoomu	1
待ち合わせ	waiting, rendez-vous	machiawase	1
長らく	for a long time	nagaraku	1
秋風	autumn breeze	akikaze	1
友	friend, companion	tomo	1
持ち物	one's property, one's baggage	mochimono	1
長持ち	endurance, lasting long	nagamochi	1
打ち合わせ	meeting, arrangement	uchiawase	1
ワープロ	word processor	waapuro	1
受け持つ	have charge of	ukemotsu	1
長生き	long life, longevity	nagaiki	1
性能	performance, capacity	seinou	1
国産	domestically produced	kokusan	1
産地	production center	sanchi	1
活字	printed type	katsuji	1
ゆとり	room, leeway	yutori	1
じっと	without moving, still	jitto	1
徒歩	walking, going on foot	toho	1
きっかけ	chance, opportunity	kikkake	1
休学	leave of absence, absence	kyuugaku	1
交わる	associate with, socialize	majiwaru	1
行事	event, function	gyouji	1
帰す	send home, see out	kaesu	1
いやいや	reluctantly	iyaiya	1
門	gate, entrance	mon	1
キリスト教	Christianity	kirisutokyou	1
やり方	way of doing	yarikata	1
手軽	easy, light	tegaru	1
他人	another person, stranger	tanin	1
下町	old part of town	shitamachi	1
低下	falling, lowering	teika	1
語学	language study	gogaku	1
初歩	first steps, beginning	shoho	1
強まる	become strong, gain strength	tsuyomaru	1
強める	strengthen, emphasize	tsuyomeru	1
費やす	expend, waste	tsuiyasu	1
火力	heating power, heat	karyoku	1
弱まる	weaken, abate	yowamaru	1
字引	dictionary	jibiki	1
引き受ける	undertake	hikiukeru	1
引き出す	draw out, lure out	hikidasu	1
値引き	discount	nebiki	1
引き止める	detain, keep	hikitomeru	1
学習	study, learning	gakushuu	1
手本	model, example	tehon	1
雨天	rainy weather	uten	1
入試	entrance examination	nyuushi	1
受験	take an examination	juken	1
聞き取り	listening comprehension, dictation	kikitori	1
質	quality, nature	shitsu	1
何か	something, some	nanika	1
エイズ	AIDS	eizu	1
きちんと	properly, neatly	kichinto	1
話題	topic of conversation	wadai	1
解く	solve	toku	1
多少	a little, somewhat	tashou	1
単語	word	tango	1
すらすら	unhesitantly, confidently	surasura	1
解ける	solve, resolve	tokeru	1
明かり	light	akari	1
カンニング	cheating	kanningu	1
満点	full marks, perfect score	manten	1
点	point, issue	ten	1
バツ	cross, x-mark	batsu	1
商人	merchant, trader	shounin	1
複数	plural	fukusuu	1
単数	singular	tansuu	1
後回し	deferment, postponement	atomawashi	1
点数	points, score	tensuu	1
回り道	roundabout way, detour	mawarimichi	1
個々	individually, one at a time	koko	1
ケース	case	keesu	1
食パン	bread, loaf of bread	shokupan	1
枚数	number of flat things	maisuu	1
勝手	selfish, self-centered	katte	1
負け	defeat, loss	make	1
引き分け	draw, drawn game	hikiwake	1
負担	burden, charge	futan	1
日当たり	exposure to the sun	hiatari	1
のろい	slow, sluggish	noroi	1
文法	grammar	bunpou	1
不規則	irregular	fukisoku	1
プラス	plus, advantage	purasu	1
年月	time, years	toshitsuki	1
済ませる	finish off, get done with	sumaseru	1
大国	world power, large country	taikoku	1
送金	money transfer, remittance	soukin	1
もうける	make a profit	moukeru	1
待ち遠しい	just can't wait for, long for	machidooshii	1
一時	temporarily	ichiji	1
金利	interest, interest rate	kinri	1
法則	law, rule	housoku	1
利益	profit, benefit	rieki	1
有益	beneficial, profitable	yuueki	1
品質	quality	hinshitsu	1
家屋	house, building	kaoku	1
少なくとも	at least	sukunakutomo	1
あらかじめ	in advance	arakajime	1
見当	estimate, aim	kentou	1
入れ物	receptacle, container	iremono	1
要点	main point, gist	youten	1
慣れ	getting used to, habituation	nare	1
値	value, worth	atai	1
品	article, item	shina	1
会計	account, finance	kaikei	1
計る	compute, measure	hakaru	1
合計	sum total	goukei	1
差	difference	sa	1
時差	time difference	jisa	1
差し上げる	respectfully give	sashiageru	1
一昨日	the day before yesterday	issakujitsu	1
日差し	rays of the sun, sunlight	hizashi	1
物差し	ruler	monosashi	1
学割	student discount	gakuwari	1
役割	role, part	yakuwari	1
割り当て	assignment, allotment	wariate	1
割り当てる	assign, allot	wariateru	1
割り引き	discount, reduction	waribiki	1
割合に	relatively, rather	wariaini	1
残り	remainder, leftover	nokori	1
もったいない	wasteful, a shame	mottainai	1
支出	expenditure, disbursement	shishutsu	1
収支	earnings and expenses	shuushi	1
支度	arrangement, preparation	shitaku	1
支払う	pay	shiharau	1
支払い	payment, payout	shiharai	1
料金	charge, fee	ryoukin	1
めいめい	each, individual	meimei	1
払い	payment, account	harai	1
不良	bad, defective	furyou	1
引き返す	turn back, retrace one's steps	hikikaesu	1
借り	borrowing, debt	kari	1
利子	interest	rishi	1
貸し出し	lending service, checking out	kashidashi	1
申請	application, petition	shinsei	1
月末	end of the month	getsumatsu	1
ぎゅうぎゅう	packed, crammed	gyuugyuu	1
年末	end of year	nenmatsu	1
申し込み	application, proposal	moushikomi	1
割り込む	cut in	warikomu	1
人込み	crowd	hitogomi	1
前期	previous term, last semester	zenki	1
短期	short-term	tanki	1
期限	time limit, term	kigen	1
限度	limit, bounds	gendo	1
大急ぎ	in a great hurry	ooisogi	1
区切る	punctuate, divide	kugiru	1
生き物	living creature	ikimono	1
作物	crop	sakumotsu	1
食物	food	shokumotsu	1
一人一人	each and every person	hitorihitori	1
券	voucher, ticket	ken	1
回数券	book of tickets	kaisuuken	1
当日	that day	toujitsu	1
前売り券	advance ticket	maeuriken	1
計	total	kei	1
期日	date, due date	kijitsu	1
値上げ	price hike	neage	1
代金	charge, fee	daikin	1
指す	point to, aim at	sasu	1
目指す	aim for, have an eye on	mezasu	1
氏	Mr.	shi	1
定価	fixed price	teika	1
割り引く	give a discount, make a reduction	waribiku	1
定休日	regular holiday	teikyuubi	1
外出	outing	gaishutsu	1
打ち合わせる	arrange, discuss	uchiawaseru	1
予算	budget	yosan	1
予報	forecast, prediction	yohou	1
取り消す	cancel, nullify	torikesu	1
せめて	at least	semete	1
束	bundle, counter for bundles	taba	1
図る	strive for, attempt	hakaru	1
変更	alteration, change	henkou	1
夜更かし	sitting up late at night	yofukashi	1
急増	sudden increase	kyuuzou	1
増す	increase, augment	masu	1
増大	increase, enlargement	zoudai	1
年々	year by year, annually	nennen	1
減少	decrease, reduction	genshou	1
回数	frequency, number of times	kaisuu	1
増減	increase and decrease, rise and fall	zougen	1
量	quantity, volume	ryou	1
乗車券	railway ticket, bus ticket	joushaken	1
乗り込む	board, march into	norikomu	1
各地	every place, various parts	kakuchi	1
大雨	heavy rain	ooame	1
今にも	at any moment	imanimo	1
雨降り	rainfall, rainy weather	amefuri	1
定員	fixed staff number, capacity	teiin	1
乗り降り	getting on and off	noriori	1
前後	before and after, order	zengo	1
無事	safely, peacefully	buji	1
ほっと	feel relieved	hotto	1
年収	annual income	nenshuu	1
かえって	on the contrary, rather	kaette	1
私立	private	shiritsu	1
役立つ	be of use, serve a purpose	yakudatsu	1
中立	neutrality	chuuritsu	1
立ち止まる	stop, halt	tachidomaru	1
ろうそく	candle	rousoku	1
指定	designation, appointment	shitei	1
客席	seat, passenger seat	kyakuseki	1
着席	taking a seat	chakuseki	1
向かい	opposite side	mukai	1
欠点	weak point, defect	ketten	1
欠ける	be chipped, be missing	kakeru	1
冬季	winter season	touki	1
取り次ぐ	relay a message, transfer a call	toritsugu	1
運営	operation, management	un'ei	1
運賃	passenger fare	unchin	1
乗車	boarding, getting on board	jousha	1
ボーイ	waiter	booi	1
よそ見	look around	yosomi	1
春夏秋冬	four seasons, all year round	shunkashuutou	1
移動	movement, shift	idou	1
青年	youth, young man	seinen	1
開会	opening, start a meeting	kaikai	1
運動場	playground, sports field	undoujou	1
運動場	playground, sports field	undoujou	1
動向	trend, tendency	doukou	1
中止	suspension, stopping	chuushi	1
動力	power	douryoku	1
本能	instinct	honnou	1
理性	reason, reasoning power	risei	1
まねる	imitate, mimic	maneru	1
業界	industry, business world	gyoukai	1
上がる	be completed	agaru	1
覚え	recollection, memory	oboe	1
早まる	make a hasty decision, jump the gun	hayamaru	1
月日	time, days	tsukihi	1
出来るだけ	as much as possible	dekirudake	1
高速	high speed	kousoku	1
重なる	be piled up, come one after another	kasanaru	1
速達便	special delivery, express mail	sokutatsubin	1
残業	overtime	zangyou	1
ぐずぐず	drag one's feet, waste time	guzuguzu	1
勝負	match	shoubu	1
学期	school term	gakki	1
空き地	unoccupied ground, vacant lot	akichi	1
ぎりぎり	just in time, barely	girigiri	1
大通り	main street	oodoori	1
明け方	dawn, near daybreak	akegata	1
生理	period, menstruation	seiri	1
新学期	new term, new semester	shingakki	1
文明	civilization, culture	bunmei	1
最終	last, final	saishuu	1
終点	last stop, terminus	shuuten	1
始終	from beginning to end, at all times	shijuu	1
終電	last train	shuuden	1
会	meeting, association	kai	1
なるべく	as...as possible, if possible	narubeku	1
役目	duty, role	yakume	1
現地	actual site, in the field	genchi	1
現場	actual spot, job site	genba	1
現住所	present address	genjuusho	1
実習	practice, training	jisshuu	1
受け止める	catch, receive	uketomeru	1
生	life	sei	1
のんびり	take it easy	nonbiri	1
いよいよ	finally, any moment	iyoiyo	1
先に	before, ahead	sakini	1
始発	first departure	shihatsu	1
遅らす	delay, put off	okurasu	1
発売	sale, selling	hatsubai	1
鉄道	railway	tetsudou	1
発電所	power plant, generating station	hatsudensho	1
重大	important, serious	juudai	1
言い表わす	express, say	iiarawasu	1
県	prefecture	ken	1
下さる	give, favor with	kudasaru	1
用紙	blank form, stationery	youshi	1
表紙	cover, binding	hyoushi	1
白紙	blank sheet, clean slate	hakushi	1
値する	be worth, deserve	ataisuru	1
絵本	picture book	ehon	1
値打ち	value, worth	neuchi	1
発行	publication, issue	hakkou	1
音読み	Chinese-derived kanji reading	onyomi	1
発音	pronunciation	hatsuon	1
物音	noise, sound	monooto	1
やかましい	noisy, clamorous	yakamashii	1
よほど	very, by far	yohodo	1
無制限	unlimited, free	museigen	1
月見	moon viewing	tsukimi	1
ごくんと	in one gulp	gokunto	1
薬局	drugstore, pharmacy	yakkyoku	1
思い切り	to one's heart's content, with all one's might	omoikiri	1
食欲	appetite	shokuyoku	1
欲	desire, greed	yoku	1
区画	division, section	kukaku	1
当初	original, initial	tousho	1
大体	outline, generally	daitai	1
画面	screen	gamen	1
映る	be reflected, appear	utsuru	1
表面	surface, appearance	hyoumen	1
場面	scene, situation	bamen	1
出来事	occurrence, incident	dekigoto	1
面する	face	mensuru	1
半面	profile, one side	hanmen	1
割に	comparatively, rather	warini	1
ばかばかしい	stupid, absurd	bakabakashii	1
日時	date, time	nichiji	1
出力	output	shutsuryoku	1
真実	truth, reality	shinjitsu	1
真夏	midsummer	manatsu	1
真っ最中	midst	massaichuu	1
無色	colorless, neutral	mushoku	1
長方形	rectangle	chouhoukei	1
地形	geographical features, topography	chikei	1
小型	small-sized	kogata	1
型	type, mold	kata	1
人種	race	jinshu	1
種	seed	tane	1
人類	mankind, humankind	jinrui	1
早速	immediately	sassoku	1
市役所	municipal office, city hall	shiyakusho	1
書類	documents, papers	shorui	1
区役所	ward office	kuyakusho	1
分類	classification	bunrui	1
郵送	mailing	yuusou	1
定食	day's special, set menu	teishoku	1
とじる	bind, file	tojiru	1
ともかく	at least, at any rate	tomokaku	1
やり直し	doing over, redoing	yarinaoshi	1
やり直す	do over again	yarinaosu	1
直通	direct link	chokutsuu	1
接近	approach, proximity	sekkin	1
接する	come in contact, adjoin	sessuru	1
面接	interview	mensetsu	1
無線	radio, wireless	musen	1
角度	angle	kakudo	1
南東	southeast	nantou	1
町角	street corner	machikado	1
直角	right angle	chokkaku	1
題	title, topic	dai	1
熱する	heat, become hot	nessuru	1
共通語	common language, lingua franca	kyoutsuugo	1
共に	together, both	tomoni	1
夜明け	dawn, daybreak	yoake	1
共同	joint, commonality	kyoudou	1
合同	combination, joint	goudou	1
同一	sameness, identity	douitsu	1
同情	sympathy, compassion	doujou	1
これまで	until now, until here	koremade	1
それぞれ	each, respective	sorezore	1
人違い	mistaken identity	hitochigai	1
違い	difference, mistake	chigai	1
日日	date, number of days	hinichi	1
以降	hereafter	ikou	1
税	tax, duty	zei	1
リットル	liter, litre	rittoru	1
費用	expenses	hiyou	1
始め	beginning, origin	hajime	1
旅客	traveler, passenger	ryokaku	1
海苔	laver	nori	1
終える	end, finish	oeru	1
大いに	very, greatly	ooini	1
気軽	lighthearted, easy	kigaru	1
済ます	settle, complete	sumasu	1
生き生きと	lively, vividly	ikiikito	1
交ざる	mix, socialize with	mazaru	1
和風	Japanese style	wafuu	1
和食	Japanese-style food	washoku	1
和らぐ	soften, calm down	yawaragu	1
和式	Japanese style	washiki	1
洋風	Western style	youfuu	1
洋画	foreign film	youga	1
洋食	Western cooking, European dish	youshoku	1
制服	uniform	seifuku	1
上下	top and bottom	jouge	1
やや	little, somewhat	yaya	1
ぴったり	exactly right, perfect	pittari	1
びしょびしょ	soaked	bishobisho	1
だぶだぶ	baggy, too big	dabudabu	1
室内	indoors	shitsunai	1
待合室	waiting room	machiaishitsu	1
洋室	Western-style room	youshitsu	1
水田	paddy field, rice field	suiden	1
ひび	crack	hibi	1
済む	be settled, complete	sumu	1
情熱	passion, enthusiasm	jounetsu	1
いびき	snoring	ibiki	1
大工	carpenter	daiku	1
旅費	traveling expenses	ryohi	1
よこす	send, hand over	yokosu	1
味わう	taste, appreciate	ajiwau	1
家事	housework, domestic duties	kaji	1
便り	news, correspondence	tayori	1
電報	telegram	denpou	1
長話	long conversation, talk for a long time	nagabanashi	1
味方	friend, ally	mikata	1
親切	kindness	shinsetsu	1
下宿	lodging, boarding house	geshuku	1
似る	resemble, be alike	niru	1
そっくり	identical, look alike	sokkuri	1
水族館	aquarium	suizokukan	1
歳末	year end	saimatsu	1
好み	taste, preference	konomi	1
在学	attendance at school	zaigaku	1
スタンド	table lamp, desk lamp	sutando	1
旅	journey, travel	tabi	1
姉妹	sisters	shimai	1
父兄	parents, legal guardians	fukei	1
口げんか	quarrel	kuchigenka	1
第一	number one, the best	daiichi	1
市立	municipal, city	shiritsu	1
まね	imitation, mimicry	mane	1
休息	rest, break	kyuusoku	1
読み書き	reading and writing	yomikaki	1
目下	now, at present	mokka	1
左利き	left-handedness, left-hander	hidarikiki	1
同時	simultaneous	douji	1
次々に	one after another, in succession	tsugitsugini	1
体力	physical strength	tairyoku	1
歩行者天国	vehicle-free promenade	hokoushatengoku	1
者	person, fellow	mono	1
活用	utilization, conjugation	katsuyou	1
行動	action, conduct	koudou	1
営業	business, sales	eigyou	1
以前	before, ago	izen	1
人物	character, person	jinbutsu	1
人事	human affairs, personnel affairs	jinji	1
会員	member	kaiin	1
世代	generation	sedai	1
制限	restriction, limit	seigen	1
移転	transfer, change of address	iten	1
学者	scholar	gakusha	1
以来	since	irai	1
作家	writer, novelist	sakka	1
元気	vigor, spirits	genki	1
試みる	try, attempt	kokoromiru	1
生まれ	birth, origin	umare	1
いかに	how, in what way	ikani	1
個性	individuality	kosei	1
局	bureau, public service office	kyoku	1
教員	teacher, teaching staff	kyouin	1
生み出す	generate, produce	umidasu	1
いかにも	indeed, as if	ikanimo	1
一見	at a glance	ikken	1
しっかり	mature, reliable	shikkari	1
新人	newcomer, freshman	shinjin	1
求人	recruiting	kyuujin	1
出産	birth, delivery	shussan	1
学年	school year, grade	gakunen	1
弱点	weak point	jakuten	1
工学	engineering	kougaku	1
仕上げる	finish, complete	shiageru	1
親友	close friend	shinyuu	1
生かす	take advantage of, make use of	ikasu	1
きつい	severe, hard, strict	kitsui	1
打ち込む	devote oneself	uchikomu	1
後方	back, rear	kouhou	1
英文	English, English writing	eibun	1
さっぱり	completely, not at all	sappari	1
元来	originally, essentially	ganrai	1
出世	success, promotion	shusse	1
こっそり	stealthily, secretly	kossori	1
社会人	member of society, working person	shakaijin	1
思いがけない	unexpected, accidental	omoigakenai	1
せっせと	hard, diligently	sesseto	1
気力	energy, vitality	kiryoku	1
いちいち	one by one, in detail	ichiichi	1
運	fortune, fate	un	1
利く	work, function	kiku	1
県立	prefectural	kenritsu	1
オーバー	exaggerate	oobaa	1
真理	truth	shinri	1
クラシック	classical music, the classics	kurashikku	1
大げさ	exaggerate	oogesa	1
学部	faculty, department	gakubu	1
家出	running away from home	iede	1
生け花	flower arrangement	ikebana	1
かかる	catch, get	kakaru	1
ジーパン	jeans	jiipan	1
担ぐ	shoulder, carry	katsugu	1
コマーシャル	commercial, advertising	komaasharu	1
最強	strongest	saikyou	1
からかう	make fun of, tease	karakau	1
貸し	loan, renting	kashi	1
末っ子	youngest child	suekko	1
駅長	stationmaster	ekichou	1
おごる	treat	ogoru	1
スマート	sophisticated, skillful	sumaato	1
聞き手	listener, audience	kikite	1
きっちり	exactly	kitchiri	1
言い返す	talk back, retort	iikaesu	1
いやらしい	disgusting, nasty	iyarashii	1
あぐら	sit cross legged	agura	1
きっちん	kitchen	kitchin	1
女らしい	womanly, feminine	onnarashii	1
急用	urgent business	kyuuyou	1
いらいら	be irritated	iraira	1
あいづち	responsive sounds, chiming in	aizuchi	1
現れ	embodiment, manifestation	araware	1
打ち消し	negation, denial	uchikeshi	1
あだな	nickname	adana	1
行き来	comings and goings, communication	ikiki	1
上下	above and below	ueshita	1
うつむく	face downward	utsumuku	1
おだてる	flatter	odateru	1
がぶがぶ	(the sound of) guzzling	gabugabu	1
借金	borrowing money, debt	shakkin	1
ただ	simply, merely	tada	2
入力	input, power input	nyuuryoku	1
母親	mother	hahaoya	1
発つ	start, leave	tatsu	1
様子	appearance, aspect	yousu	1
友人	friend	yuujin	1
父親	father	chichioya	1
不満	dissatisfaction, discontent	fuman	1
直前	just before, immediately prior	chokuzen	1
知事	governor	chiji	1
まるで	just like, completely	marude	1
年代	age, date	nendai	1
都心	heart of a city	toshin	1
熱心	enthusiasm, zeal	nesshin	1
ファン	fan, lover	fan	1
大使	ambassador	taishi	1
長年	many years, long time	naganen	1
見直す	reconsider, change one's opinion for the better	minaosu	1
都会	city, town	tokai	1
半ば	middle, halfway	nakaba	1
買収	buying up, bribing	baishuu	1
入社	entering a company	nyuusha	1
取り入れる	take in, adopt	toriireru	1
外す	remove	hazusu	1
立ち上がる	stand up, take action	tachiagaru	1
中世	Middle Ages	chuusei	1
見事	splendid, admirable	migoto	1
なかなか	rather, pretty	nakanaka	1
日ごろ	routinely, daily	higoro	1
出入り	coming and going	deiri	1
不利	disadvantage	furi	1
本質	essence, reality	honshitsu	1
本国	one's native country	hongoku	1
トレーニング	training, workout	toreeningu	1
方言	dialect	hougen	1
当分	for some time, for the present	toubun	1
引き取る	take over, take custody	hikitoru	1
ぼんやり	vaguely, absent-mindedly	bonyari	1
東洋	Orient	touyou	1
交じる	be mingled, be mixed	majiru	1
試す	try, test	tamesu	1
方角	direction	hougaku	1
法学部	law department	hougakubu	1
ゆったり	comfortable	yuttari	1
見出し	headline, heading	midashi	1
ユーモア	humor	yuumoa	1
無口	not speaking much, reticence	mukuchi	1
タレント	celebrity, talent	tarento	1
たまに	occasionally, by chance	tamani	1
和服	Japanese clothes, kimono	wafuku	1
内心	back of one's mind, one's real intention	naishin	1
有能	able, competent	yuunou	1
体格	physique, build	taikaku	1
わざと	on purpose	wazato	1
とっくに	long ago	tokkuni	1
作り上げる	make up, build up	tsukuriageru	1
度々	often	tabitabi	1
一口	mouthful, bite	hitokuchi	1
