Vocab 	Vocab Furigana 	Vocab Kana 	Vocab Meaning 	Part of Speech 	Sentence Furigana 	Sentence Meaning 	Sentence Lookup 	Example 	Frequency 	Optimized Core Index 
短大	短大[たんだい]	tandai	junior college (for short)	noun	妹[いもうと]は 短大[たんだい]を 卒業[そつぎょう]しました。	My little sister graduated from junior college.	妹 【いもうと】  (n) (hum) younger sister  短大 【たんだい】  (n) junior college  卒業 【そつぎょう】  (n,vs,adj-no) (1) graduation; completion (e.g. of a course); (2) (col) outgrowing something; moving on  しました  (aux-v) did	彼女は短大から四年制の大学へ転学した. She transferred [《口語》 switched] from a two‐year college to a university. 彼女は練習環境にほれ込んでこの短大に入学した。 She entered this junior college because she was fascinated by the training environment. その会社では、短大または四大卒の第二新卒を対象とした特別採用枠を設けている。 The company has special positions for currently unemployed young people who have graduated from colleges or universities in recent years. 大学生の組織で、全国の大学・短大の弓道部のほとんどが加盟している。 It's an organization for college students, and nearly all Kyudo-bu (archery clubs) in universities and junior colleges nationwide are affiliated. 短大・大学を卒業してからの奉仕であれば、数年間しか在職しないことになる。 If one starts serving as miko after graduating from college or university, she can do so for only a few years. この短大が野球部を始めたのは，生徒にとってより魅力的な学校になりたいと考えたからだった。 The junior college started the baseball team because it wanted to make itself more attractive to students. より多くの私立大学や短大がこの試験を入学者選考に利用し始めており，今年は史上最多となる811校がこの試験に参加した。 With more private universities and junior colleges beginning to use the test for admissions, 811 universities, the largest number ever, participated in the test this year. デジパチ機および羽根物の遊技性を併せ持ち、遊技者に違和感を与えることなく突然時短大当りを実施する遊技機を提供する。 To provide a game machine which has the game properties of a digital Pachinko game machine and a blade object together and executes a sudden time shortening jackpot without making a player feel discomfort. 大当り図柄で停止した場合には、大入賞口を開口させて大当り遊技を行い、小当り図柄で停止した場合には羽根入球口を開口させて小当り遊技を行い、突然時短大当り図柄で停止した場合には、羽根入球口を開口させて突然時短大当りを行う。 A jackpot pocket is opened to perform a jackpot game when stopping at a jackpot symbol, a blade ball entrance is opened to perform a small winning game when stopping at a small winning symbol, and the blade ball entrance is opened to perform a sudden time shortening jackpot when stopping at a sudden time shortening jackpot symbol. 突然時短大当り中に羽根入球口から遊技球が入球した場合に、振り分け結果が確定する前に時短遊技が開始されたのでは遊技者に違和感を与えてしまうが、こうすれば、突然時短大当り中に羽根入球口から遊技球が入球しても、遊技者に違和感を与えることがない。 A player feels with a feeling of discomfort if the time shortening game is started before a distribution result is established when the game ball enters from the blade ball entrance during the sudden time shortening jackpot, however, in such a manner, the player is not made to feel discomfort even when the game ball enters from the blade ball entrance during the sudden time shortening jackpot.	11938	2479	1
下痢	下痢[げり]	geri	diarrhea	verbal noun	古[ふる]いお 寿司[すし]を 食[た]べて 下痢[げり]をしてしまったんだ。	I got diarrhea from eating old sushi.	古い 【ふるい】  (adj-i) old (not person); aged; ancient; antiquated; stale; threadbare; outmoded; obsolete article  お  (1) (pref) polite prefix (also 御); (2) (int) oh! (expression of slight surprise)  寿司 【すし】  (ateji) (n) (food) sushi; anything made with vinegared rice (may also contain vegetables, spices, fish, or other delicacies)  (te-form) 食べる 【たべる】  (v1,vt) to eat  下痢 【げり】  (n,vs,adj-no) diarrhoea; diarrhea  しまった  (exp,int) Damn it!; also abbreviation of しまいました	下痢[げり] 気味[ぎみ]です。 I have a touch of diarrhea.  下痢[げり]をしています。 I have diarrhea.  下痢[げり] 止[と]めです。 Here's some medicine for diarrhea.  海外[かいがい]にいくとかならず、 時差[じさ]ぼけと 下痢[げり]になやまされる。 Whenever I go abroad, I suffer from jet lag and diarrhea.  放射線[ほうしゃせん]を 大量[たいりょう]に 浴[あ]びたら、すぐに 嘔吐[おうと]と 下痢[げり]が 始[はじ]まります。 After being exposed to a large amount of radiation, vomiting and diarrhea will start quickly. 下痢止めです。 There's medicine for diarrhea. 下痢している. I'm loose in the bowels. 嘔吐と下痢です。 Vomiting and diarrhea. 下痢気味です。 I have a touch of diarrhea. 下痢をしています。 I have diarrhea.	11953	2097	0
忠告	忠告[ちゅうこく]	chuukoku	advice, warning	verbal noun	先生[せんせい]からの 忠告[ちゅうこく]を 聞[き]くべきだよ。	You should follow your teacher's advice.	先生 【せんせい】  (n) (1) teacher; master; doctor; (suf) (2) with names of teachers, etc. as an honorific  忠告 【ちゅうこく】  (n,vs,adj-no) advice; warning  (plain verb) 聞く 【きく】  (v5k,vt) (1) to hear; (2) to listen (e.g. to music); (3) to ask; to enquire; to query	忠告[ちゅうこく]は 塩[しお]のようなものだ。 Advice is like salt.  一言[ひとこと] 忠告[ちゅうこく]をします。 I'll give you a piece of advice.  忠告[ちゅうこく]する。そこには 行[い]くな。 I warn you. Don't go there.  彼[かれ]は 用心[ようじん]するように 忠告[ちゅうこく]した。 He advised caution.  私[わたし]の 忠告[ちゅうこく]に 従[したが]いなさい。 Follow my advice.  私[わたし]は 彼[かれ]に 忠告[ちゅうこく]した。 I gave him some advice.  彼[かれ]の 忠告[ちゅうこく]を 侮[あなど]るな。 Don't make light of his advice. ご 忠告[ちゅうこく]に 従[したが]います。 I'll act on your advice. ご 忠告[ちゅうこく]どおりいたします。 I'll do as you advise. あなたの 忠告[ちゅうこく]のようにします。 I'll do as you advise.	12252	5553	0
夕暮れ	夕暮[ゆうぐ]れ	yuugure	dusk, twilight	noun	夕暮[ゆうぐ]れの 空[そら]がきれいですね。	The twilight sky is beautiful.	(masu stem) 夕暮れ 【ゆうぐれ】  (n-adv,n) evening; (evening) twilight  空 【から; そら】  (から) (n) emptiness; (そら) (n) sky; the heavens  きれい  (adj-na,n) pretty; clean; nice; tidy; beautiful; fair	夕暮[ゆうぐ]れが 谷間[たにま]に 迫[せ]っていた。 Evening was closing in on the valley.  夕暮[ゆうぐ]れ 時[じ]になるとこの 辺[あたり]に 人々[ひとびと]が 集[あ]まって 来[く]る。 People gather around here when it gets dark. その 校舎[こうしゃ]は 夕暮[ゆうぐ]れの 中[なか]にきらきらと 輝[かがや]いていた。 The school building was a blaze of light in the evening darkness.  或[ある]る 夕暮[ゆうぐれ] 私[わたし]はこの 丘[おか]の 上[うえ]に 立[ ]ったことがある。 There was a time, one evening, when I stood on top of that hill. アザラシは 夜[よる]にいっそう 頻繁[ひんぱん]に 浮上[ふじょう]してくるのだから、 熊[くま]がアザラシを 呼吸[こきゅう] 孔[あな]のところで 捕[つか]まえる 可能[かのう] 性[せい]は 夕暮[ゆうぐ]れ 以降[いこう]により 高[たか]くなるのである。 The seals surface more frequently then, so a bear's chance of catching one at a breathing hole is greater after nightfall. 私は夕暮れが好きだ。 I like twilight. もう夕暮れに近い. It is nearly dusk. 夕暮れには湖にもやがかかった. At evening the lake hazed over. 夕暮れ前にはそこに着けるだろう. We will get there before dark. 夕暮れが谷間に迫っていた。 Evening was closing in on the valley.	12259	5628
模範	模範[もはん]	mohan	role model	noun	彼[かれ]は 全校[ぜんこう] 生徒[せいと]の 模範[もはん]です。	He's a role model for all the students in our school.	彼 【かれ; あれ】  (n) (かれ) (1) he; (2) boyfriend; (あれ) (1) that (indicating something distant from both speaker and listener); that person  全校 【ぜんこう】  (n) the whole school  生徒の 【せいとの】  (n,adj-no) pupil  模範 【もはん】  (n) exemplar; exemplification; exemplum; model; example	彼[かれ]は 正直[しょうじき]の 模範[もはん]だ。 He is a model of honesty. これは 模範[もはん]となる。 This will set a good example. あなたの 答案[とうあん]を 模範[もはん] 答案[とうあん]と 比較[ひかく]しなさい。 Compare your paper with the model one.  厄介[やっかい] 者[しゃ]が、 模範[もはん] 市民[しみん]になることはあまりない。 Troublemakers rarely become model citizens. 悪い模範を見せるな. Don't set a bad example. 彼は正直の模範だ。 He is a model of honesty. これは模範となる。 This will set a good example. 彼は模範的な生活を送った. He led an exemplary life. 模範的 model―exemplary 模範 a shining example	12277	4883	1
人情	人情[にんじょう]	ninjou	compassion, humanity	noun	この 町[まち]の 人[ひと]たちには 人情[にんじょう]があるね。	The people in this town are compassionate.	町 【まち】  (n) (1) town; block; neighbourhood; neighborhood; (2) street; road  人たち 【ひとたち】  (n) people  人情 【にんじょう】  (n) (1) humanity; empathy; kindness; sympathy; (2) human nature; common sense; customs and manners	隣[となり] 近所[きんじょ]に 対[たい]して 見栄[みえ]を 張[は]るのは 人情[にんじょう]ですよ。 It's only natural to keep up with the Joneses. 人情家. a man of heart 個人情報 My Profile 人情浮薄 The people are frivolous. 人情本 a novel 人情本 Ninjobon book 彼は人情がある、人情が厚い He is humane 彼は人情がある、人情が厚い He has a feeling heart. 人情が無い、人情が薄い He has no hear―no feeling―no bowels. 人間味, (人)情味. a human touch	12399	2663	1
満月	満月[まんげつ]	mangetsu	full moon	noun	今日[きょう]は 満月[まんげつ]ですね。	It's a full moon today.	今日は 【きょうは; こんにちは】  (1) (n-t) (きょうは) today; this day; (2) (int) (こんにちは) hello; good day (daytime greeting)  満月 【まんげつ】  (n,adj-no) full moon	今夜[こにゃ]は 満月[まんげつ]が 見[み]られる。 A full moon can be seen tonight.  満月[まんげつ]が 空[そら]にさえている。 A full moon is shining bright in the sky.  満月[まんげつ]でしたか 新月[しんげつ]でしたか。 Was it a full moon or a new moon? あの 日[ひ] 見[み]えたのは 満月[まんげつ]でした。 It was a full moon that was seen that day. 月は満月だ. The moon is at the full. その晩は満月でした. The moon was full that night. 昨晩はきれいな満月だった。 There was a beautiful full moon yesterday evening. 今晩は満月になるだろう。 It will likely be a full moon tonight. 今夜の満月は特別にきれいだ。 The full moon tonight is especially pretty. 今夜の満月は特別な美しさだ。 Tonight's full moon has a special beauty.	12461	2378	1
割り当て	割[わ]り当[あ]て	wariate	assignment, allotment	noun	チケットの 割[わ]り 当[あ]ては 一人[ひとり]１０ 枚[まい]です。	Ten tickets are allocated per person.		"「 割り当[わりあ]て」という 概念[がいねん]を 考察[こうさつ]することから 始[はじ]めよう。 We will begin by considering the concept of ""quota"".  彼[かれ]は 私[わたし]に 新[あたら]しい 仕事[しごと]を 割り当[わりあ]てた。 He assigned me a new job.  私[わたし]に 新[あたら]しい 部屋[へや]が 割り当[わりあ]てられた。 A new room was assigned to me.  切符[きっぷ]は、 申し込[もうしこ]み 順[じゅん]に 割り当[わりあ]てます。 Tickets will be allotted in order of application.  彼[かれ]らは 私[わたし]に 小[ちい]さな 部屋[へや]を 割り当[わりあ]てた。 They have assigned me a small room.  彼[かれ]らはその 作業[さぎょう]を 私[わたし]たちに 割り当[わりあ]てた。 They assigned the task to us.  私[わたし]たちは 大[おお]きな 教室[きょうしつ]を 割り当[わりあ]てられた。 We have been assigned the large classroom.  自分[じぶん]の 仕事[しごと]の 割り当[わりあ]ては 終[お]わりましたか。 Have you finished your share of the work?  上司[じょうし]はその 大変[たいへん]な 仕事[しごと]を 私[わたし]に 割り当[わりあ]てた。 My boss assigned the hard job to me.  先生[せんせい]は 私[わたし]に 一番[いちばん] 長[なが]い 章[しょう]を 割り当[わりあ]てた。 The teacher allotted the longest chapter to me."	12468	3159	1
新婚	新婚[しんこん]	shinkon	newlywed	noun	妹[いもうと] 夫婦[ふうふ]は 新婚[しんこん]です。	My younger sister and her husband are newlyweds.	妹 【いもうと】  (n) (hum) younger sister  夫婦 【ふうふ】  (n) married coupleouses; husband and wife; couple; pair  新婚 【しんこん】  (n,vs,adj-no) newly-wed	新婚[しんこん] 旅行[りょこう]は 海外[かいがい]の 予定[よてい]です。 The honeymoon will be spent abroad. ウエスト 夫妻[ふさい]は 新婚[しんこん] 旅行[りょこう] 中[ちゅう]です。 Mr. and Mrs. West are on their honeymoon.  私[わたし]たちは 結婚式[けっこんしき]と 新婚[しんこん] 旅行[りょこう]の 準備[じゅんび]で 忙[いそが]しい。 We are busy preparing for our wedding and honeymoon.  結婚[けっこん]したばかりで、これは 新婚[しんこん] 旅行[りょこう]です。 We just got married, and this is our honeymoon.  新婚[しんこん] 旅行[りょこう]には 世界[せかい] 一周[いっしゅう]の 船旅[ふなたび]をした。 For their honeymoon they took a voyage around the world. その 新婚[しんこん] 夫婦[ふうふ]は 手[て]をつないで 歩[ある]いた。 The newly married couple walked hand in hand. カナダへの 新婚[しんこん] 旅行[りょこう]には 多[おお]くの 金[きん]が 必要[ひつよう]である。 A honeymoon in Canada costs a lot of money. いいえ。 新婚[しんこん] 旅行[りょこう]で 一度[いちど]グアムへ 行[い]きました。 No. I went to Guam once on my honeymoon.  海外[かいがい]へ 新婚[しんこん] 旅行[りょこう]に 行[い]くカップルがますます 増[ふ]えている。 More and more couples go on honeymoon trips abroad. その 新婚[しんこん] 夫婦[ふうふ]は 新婚[しんこん] 旅行[りょこう]でハワイに 出[で]かけて 行[ ]った。 The new couple have gone off to Hawaii on their honeymoon.	12482	3650	1
動力	動力[どうりょく]	douryoku	power, engine	noun	この 車[くるま]の 動力[どうりょく]は 電気[でんき]です。	This car is powered by electricity.	車 【くるま】  (n) (1) car; automobile; vehicle; (2) wheel  動力 【どうりょく】  (n,adj-f) power; motive power; dynamic force  電気 【でんき】  (n) (1) electricity; (2) (electric) light	オープンソースは 技術[ぎじゅつ] 革新[かくしん]を 牽引[けにん]する 動力[どうりょく]である。 Open source is the engine that drives technological innovation. そのボートは 動力[どうりょく]にモーターを 使用[しよう]している。 The boat uses a motor for the power. 彼は行動力がある。 He is a man of action. 彼は行動力がある。 He is a man of action. (特に機械の)起動力, 原動力, 動力. motive power  原動力 a motive force 原動力 motive power 原動力 prime mover 動力飛行 powered flight ＮＭ動力 NM POWER	12565	3362	1
にぎわう	にぎわう	nigiwau	bustle, be lively	verb	ここは 正月[しょうがつ]はたくさんの 人[ひと]でにぎわいます。	It's lively here with a lot of people at the New Year's holiday.	正月 【しょうがつ】  (n) New Year; New Year's Day; the first month; January  人 【じん; と; にん; ひと】  (じん) (n) man; person; people; (と) (suf) person; (にん) ; (n) man; person; human being; mankind; people; character; personality; true man; man of talent; adult; other people; messenger; visitor; (ひと) ; (n) man; person; human being; mankind; people; character; personality; true man; man of talent; adult; other people; messenger; visitor  賑わい 【にぎわい】  (n) prosperity; bustle; activity; crowd; turnout	通[とお]りは 買い物[かいもの] 客[きゃく]でにぎわっている。 The streets are alive with shoppers. その 大学[だいがく]は 大学[だいがく] 祭[さい]でにぎわっていた。 The university was alive with a festival. この 町[まち]は 以前[いぜん]ほどにぎわっていない。 This city is not so busy as it used to be. この時期は登山者で賑わう。 It is crowded with mountain climbers during this season. この時期が1番登山者で賑わう。 This season gets the most crowded with mountain climbers. その山は登山者で賑わう。 That mountain is crowded with mountain climbers. 私の町は賑わうようになった。 My town has come to flourish. 休日には観光客で賑わう。 On holidays, the station is crowded with tourists. 春になると花見をする人たちで賑わう。 The town is full of people viewing cherry blossoms in spring. 冬場もカニを食べに来る人で賑わう。 Many people also use this station during the winter months, as they come to eat crab.	289387	5390	0
軽蔑	軽蔑[けいべつ]	keibetsu	contempt, despise	verbal noun	彼女[かのじょ]は 彼[かれ]を 軽蔑[けいべつ]していたの。	She despised him.	彼女 【かのじょ】  (pn,adj-no) (1) she; her; (2) girl friend; girlfriend; sweetheart  彼 【かれ; あれ】  (n) (かれ) (1) he; (2) boyfriend; (あれ) (1) that (indicating something distant from both speaker and listener); that person  軽蔑 【けいべつ】  (n,vs) scorn; disdain	他人[たにん]を 軽蔑[けいべつ]するな。 Don't look down on others.  彼女[かのじょ]は 彼[かれ]を 軽蔑[けいべつ]した。 She despised him.  彼[かれ]は 贈収賄[ぞうしゅうわい]を 軽蔑[けいべつ]した。 He disdained bribery.  彼女[かのじょ]は 嘘[うそ]をつく 人間[にんげん]を 軽蔑[けいべつ]する。 She scorns liars.  貧[まず]しい 人[ひと]を 軽蔑[けいべつ]するな。 Don't look down on the poor.  彼女[かのじょ]は 私[わたし]を 軽蔑[けいべつ]している。 She has scorn for me.  彼等[かれら]はわたしを 軽蔑[けいべつ]した。 They looked down on him.  彼[かれ]らはうそつきを 軽蔑[けいべつ]した。 They scorned the liar.  彼女[かのじょ]はその 少年[しょうねん]を 軽蔑[けいべつ]した。 She scorned the boy.  貧[まず]しい 人々[ひとびと]を 軽蔑[けいべつ]するな。 Don't look down on the poor.	12685	2809	0
貴い	貴[とうと]い	toutoi	noble, invaluable	adjective	その 事故[じこ]で 貴[とうと]い 命[いのち]が 失[うしな]われました。	An invaluable life was lost in the accident.	事故 【じこ】  (n) (1) accident; incident; trouble; (2) circumstances; reasons  貴い 【たっとい】  (adj-i) precious; valuable; priceless; noble; exalted; sacred  命 【いのち; みこと; みょう; めい】  (いのち) (n) (mortal) life; (みこと) (n) lord; prince; words of a ruler; (みょう) ; (n) command; decree; life; destiny; (めい) ; (n) command; decree; life; destiny  (passive) 失う 【うしなう】  (v5u,vt) to lose; to part with	"貴[とうと]い 言葉[ことば]をかけくださる「すべてはなすがままに」。 Speaking words of wisdom, ""let it be."" ある夜、行平の夢に貴い僧が現れ、「因幡国の賀露津（かろのつ）の浦に貴い浮き木がある。 One night, a Buddhist priest appeared in Yukihira's dream and said 'There is a precious piece of wood floating on Karonotsu-no-Ura Inlet in Inaba Province. 健康は金銀財宝にまさって貴いものである. Health is more precious than wealth. 貴い言葉をかけくださる「すべてはなすがままに」。 Speaking words of wisdom, ""let it be."" 「今日賎しいものが、明日には貴いかもしれない。 His last words were; 'That which may seem vulgar today may be precious tomorrow. 「貴いお方、そしてベンなりのわけがあると言うんだぞ。 ""Precious sight, and reasons of his own, says you. 特に貴い神に「尊」、それ以外の神に「命」の字を用いている。 The character used to rite ""mikoto"" is the character for 'exalted' for paricularly sacred kami, and the character for 'order' for other kami. 特に貴い神には大神（おおかみ）・大御神（おおみかみ）の神号がつけられる。 For particularly exalted kami, the shingo ""Okami"" or Omikami"" is used. アメノウズメが「貴方様より貴い神が表れたので、それを喜んでいるのです」と言うと、アメノコヤネとフトダマがアマテラスの前に鏡を差し出した。 Amenouzume replied that they were congratulating on the appearance of the new deity more precious than her, and the great mirror was shown to Amaterasu by Amenokoyane and Futodama. 鏡に写る自分の姿がその貴い神だと思ったアマテラスが、その姿をもっと良く見ようと岩戸をさらに開けたとき、隠れていたアメノタヂカラオがその手を取って岩戸の外へ引きずり出した。 Just when Amaterasu opened the door further in order to see the reflection on the mirror, which she thought to be that greater god, Ameno Tajikarao, who was standing hidden, grasped her hand and pulled her out."	12698	4559
売り出す	売[う]り出[だ]す	uridasu	put (something) on sale	verb	新[あたら]しい 車[くるま]が 売[う]り 出[だ]された。	A new car has been put on sale.	新しい 【あたらしい】  (adj-i) new  車 【くるま】  (n) (1) car; automobile; vehicle; (2) wheel  (passive) 売り出す 【うりだす】  (v5s,vt) to put on sale; to market; to become popular	クリスマスは 新[あたら]しいおもちゃをうりだすいい 機会[きかい]だ。 Christmas is a good time to market new toys.  東京[とうきょう]で 新型[しんがた]の 車[くるま]が 売り出[うりだ]された。 They started to sell a new type of car in Tokyo.  仏[ふつ] 政府[せいふ]は 国家[こっか] 予算[よさん]の 帳尻[ちょうじり]を 合[あ]わせるよう 納税[のうぜい] 者[しゃ]に 挑[いど]むオンラインゲームを 売り出[うりだ]した。 The French government has launched an online game that challenges taxpayers to balance the national budget. 大丸は，500万円でグアムへの結婚ツアーを売り出す。 Daimaru will sell a wedding tour to Guam for 5 million yen. 三越は大変珍しい福袋を売り出す。 Mitsukoshi is selling a unique lucky bag. 高島屋は，１億円のダイヤモンドの置物の豪華な福袋を売り出す。 Takashimaya will sell a deluxe lucky bag of a 100-million-yen diamond figurine. 日本橋にある三越本店は，南極点へ行くツアーを売り出す。 Mitsukoshi’s main store in Nihonbashi will offer a tour to the South Pole. 同社はそのような住宅を来年３月末までに売り出す計画だ。 The company plans to put such houses on the market by the end of next March. 新商品を売り出す時は、慎重にカニバライゼーションを避けなければならない。 You have to carefully avoid cannibalization when you introduce a new product. 来年４月には，ある旅行代理店が中高年向けに用意されたツアーを売り出す予定だ。 Next April, a travel agency will begin selling tours arranged for the middle-aged and elderly.	12721	2603	1
インテリ	インテリ	interi	intelligent person	noun	彼女[かのじょ]はインテリで、しかも 美人[びじん]ですね。	She is not only intelligent but also beautiful.	彼女 【かのじょ】  (pn,adj-no) (1) she; her; (2) girl friend; girlfriend; sweetheart  インテリ  (n,adj-no) (abbr) egghead; intelligentsia  しかも  (conj) moreover; furthermore; nevertheless; and yet 美人 【びじん】  (n) beautiful person (woman)	あの 本[ほん]の 読者[どくしゃ]たちは 自分[じぶん]のことをインテリだと 思[お]っている。 The readers of that book think themselves sophisticated. 彼は我々にはインテリ過ぎる。 He's too high-brow for us. インテリアの趣味がいいですね。 You've done a wonderful job on the interior decoration. 命名者の堀川直義によると、「インテリ」（インテリゲンチャ）と引っかけたという。 According to Naoyoshi HORIKAWA who named the organization, he wanted to play with the word 'Inteli' (Intelligence). それはインテリアとしても楽しめます。 That can be enjoyed as an interior decoration as well. 本製品はインテリアとしても楽しめます。 You can enjoy these goods as interior decoration too. 店内インテリアを変えたら、結果的に売り上げが伸びた。 The change in interior display has led to more sales. そのような加湿器はおしゃれなインテリアによく合う。 Such humidifiers go nicely with stylish interiors. インテリアパネル INTERIOR PANEL インテリア備品 INTERIOR FIXTURES	12733	5397	1
体格	体格[たいかく]	taikaku	physique, build	noun	彼[かれ]はとても 体格[たいかく]がいいわ。	He has a well-built body.	彼 【かれ; あれ】  (n) (かれ) (1) he; (2) boyfriend; (あれ) (1) that (indicating something distant from both speaker and listener); that person  体格 【たいかく】  (n,adj-no) physique; constitution	彼[かれ]は 体格[たいかく]が 良[よ]い。 He's well built.  彼女[かのじょ]は 華奢[きゃしゃ]な 体格[たいかく]だ。 She is delicately constituted.  彼[かれ]は 立派[りっぱ]な 体格[たいかく]をしている。 He has a good constitution. そのスポーツ 選手[せんしゅ]はがっしりした 体格[たいかく]をしていた。 The athlete had a strong build.  彼[かれ]の 巨大[きょだい]な 体格[たいかく]に 僕[ぼく]は 自分[じぶん]が 小[ちい]さく 思[おも]えた。 I was dwarfed by his gigantic frame.  骨格[こっかく]たくましい 体格[たいかく]なので 彼[かれ]は 柔道[じゅうどう] 家[か]でとおっている。 With his muscular constitution he passes for a judoist.  若[わか]い 人[ひと]たちの 体格[たいかく]が 非常[ひじょう]に 良[よ]くなったのは 喜[よろこ]ばしいことである。 It is a matter for joy that young men's physique has very much improved. 彼は体格が良い。 He's well built. 彼は体格が貧弱だ. He has a poor build. 彼は筋張った体格だ. He has a strong brawny frame.	12758	2641	1
侵す	侵[おか]す	okasu	infringe, violate	verb	他人[たにん]の 権利[けんり]を 侵[おか]してはなりません。	You shouldn't infringe on other people's rights.	他人 【たにん】  (n) another person; unrelated person; outsider; stranger  権利 【けんり】  (n) right; privilege  (te-form) 侵す 【おかす】  (v5s,vt) to invade; to raid; to trespass; to violate; to intrude on  なりません  (exp) does not become	酸[さん]は 金属[きんぞく]を 侵[おか]す。 Acids act on metals.  自然[しぜん]はあらゆる 領域[りょういき]で 侵[おか]されている。 Nature is under attack on all fronts.  彼女[かのじょ]は 秘密[ひみつ]をあかしてくれなかった。 She didn't tell me her secret.  彼[かれ]はそのひどい 暑[あつ]さで 健康[けんこう]をおかされた。 His health was affected by the great heat. 酸は金属を侵す。 Acids act on metals. 通常は腕や脚の大きな骨を侵す、骨のがん。 a cancer of the bone that usually affects the large bones of the arm or leg. 血管と軟部組織を侵すがんの一種。 a type of cancer involving blood vessels and soft tissue. （１）ポリウレタン弾性体にイソシアネート化合物を含侵する。 (1) An isocyanate compound is impregnated into the polyurethane elastic body. 犠牲及びマスク酸化膜を、メタル膜を侵すことなく選択的に除去する。 To selectively remove a sacrificial or a mask oxide film, without damaging metal film. 内分泌腺を侵すまれな遺伝性疾患で、副甲状腺、下垂体、膵臓などに腫瘍が発生しやすくなる。 a rare, inherited disorder that affects the endocrine glands and can cause tumors in the parathyroid and pituitary glands and the pancreas.	12760	5085	1
栄える	栄[さか]える	sakaeru	prosper, thrive	verb	ここはかつてゴールドラッシュで 栄[さか]えた 町[まち]だよ。	This town once prospered during the Gold Rush era.	かつて  (adv,adj-no) (1) once; before; formerly; ever; former; ex-; (2) never (with negative verb) ゴールドラッシュ  (n) gold rush  (plain, past) 栄える 【さかえる】  (v1,vi) to prosper; to flourish  町 【まち】  (n) (1) town; block; neighbourhood; neighborhood; (2) street; road	善人[ぜんにん] 必[かなら]ずしも 栄[さか]える 者[もの]でない。 Not all good men will prosper. その 町[まち]は 栄[さか]えているようだった。 That town looked prosperous.  観光[かんこう] 場所[ばしょ] 以外[いがい]はあまり 栄[さか]えていないと 思[おも]います Aside from the tourist spots, it's not very prosperous, I think. １５ 世紀[せいき]のイタリアでは 美術[びじゅつ]が 栄[さか]えた。 The fine arts flourished in Italy in the 15th century.  文字[もじ]はそれが 半[なか]ば 商売[しょうばい]、 半[なか]ば 芸術[げいじゅつ]であるとき 最高[さいこう]に 栄[さか]える。 Literature flourishes best when it is half a trade and half an art.  今回[こんかい]の 金融[きにゅう] 危機[きき]から 得[え]たほかでもない 教訓[きょうくん]というのは、メーン・ストリート（ 普通[ふつう]の 町[まち]の 中央[ちゅうおう] 通[どお]り）が 苦[くる]しんでいるのにウォール・ストリートだけ 栄[さか]えるなど、そんなことがあってはならないということ。それを 忘[わす]れずにいましょう。 Let us remember that if this financial crisis taught us anything, it's that we cannot have a thriving Wall Street while Main Street suffers. この 国[くに]の 私[わたし]たちは、ひとつの 国[くに]として、ひとつの 国民[こくみん]として、 共[とも]に 栄[さか]え、 共[とも]に 苦[くる]しむのです。この 国[くに]の 政治[せいじ]をあまりにも 長[なが]いこと 毒[どく]で 満[み]たしてきた、 相変[あいか]わらずの 党派[とうは] 対立[たいりつ]やくだらない 諍[いさか]いや 未熟[みじゅく]さに 再[ふたた]び 落[お]ちてしまわないよう、その 誘惑[ゆうわく]と 戦[たたか]いましょう。 In this country, we rise or fall as one nation, as one people. Let's resist the temptation to fall back on the same partisanship and pettiness and immaturity that has poisoned our politics for so long. 善人必ずしも栄える物でない。 Not all good men will prosper. 武蔵国は中小武士団が栄える国となった。 Musashi Province became a province in which small to medium-size warrior bands thrived. 文字はそれが半ば商売、半ば芸術であるとき最高に栄える。 Literature flourishes best when it is half a trade and half an art.	12773	4836	1
結核	結核[けっかく]	kekkaku	tuberculosis	noun	昔[むかし]は 結核[けっかく]でたくさんの 人[ひと]が 亡[な]くなった。	A lot of people died of tuberculosis in the old days.	昔 【むかし】  (adj-no,n-adv,n-t) olden days; former  結核 【けっかく】  (n) tuberculosis; tubercule  たくさん  (adj-na,adv,n) many; a lot; much 人 【じん; と; にん; ひと】  (じん) (n) man; person; people; (と) (suf) person; (にん) ; (n) man; person; human being; mankind; people; character; personality; true man; man of talent; adult; other people; messenger; visitor; (ひと) ; (n) man; person; human being; mankind; people; character; personality; true man; man of talent; adult; other people; messenger; visitor  (adj., negative) 亡い 【ない】  (adj-i) (See 無い) dead	何[なん] 年[ねん]か 前[まえ]には、 結核[けっかく]にかかっていると 知[し]らされることは 死[し]の 宣告[せんこく]を 聞[き]くのに 等[ひ]しかった。 Some years ago, learning that one had tuberculosis amounted to hearing a sentence of death. 結核で死んだ. He died of tuberculosis [T.B.]. 「tuberculosis（結核）」とも呼ばれる。 also called tuberculosis. 3ヵ月後、結核で死去。 Three months later, he died of tuberculosis. あなたは結核にかかっています。 You have tuberculosis. 彼は結核と診断されました。 He was diagnosed with tuberculosis. 結核にかかる. contract TB 肺結核 pulmonary tuberculosis―the white plague 肺結核 pulmonary tuberculosis―phthisis―the white plague 結核菌 tuberculous bacilli	12817	5409	0
