#	week	day	japanese	pronounciation	translation	1d	2d	6d	12d	30d	100d	Last studied	Correct_Streak
117	2	5	飛行機	hikouki	airplane	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
118	2	5	病気	byouki	illness	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
119	2	5	冬	fuyu	winter	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
121	2	6	重い	omoi	heavy	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
122	2	6	胸	mune	chest, breast	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
123	2	6	払う	harau	pay (money, respect, attention, etc.)	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
124	2	6	軽い	karui	light (of weight)	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
125	2	6	見つける	mitsukeru	find	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
126	2	6	忘れる	wasureru	forget, leave behind	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
127	2	6	酒	sake	alcohol, rice wine	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
129	2	6	姉	ane	(one’s own) older sister	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
130	2	6	覚える	oboeru	memorize, learn	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
131	2	7	狭い	semai	narrow, small	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
132	2	7	赤い	akai	red	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
133	2	7	着る	kiru	wear, put on	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
134	2	7	笑う	warau	laugh, smile	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
135	2	7	一番	ichiban	most, best	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
136	2	7	授業	jugyou	class session, lecture	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
137	2	7	週	shuu	week	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
138	2	7	漢字	kanji	Chinese character	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
139	2	7	自転車	jitensha	bicycle	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4
